time_s,cumulative_reflected,cumulative_stuck,cumulative_absorbed
0.0003673,264,325,3
0.0003674,264,325,3
0.0003675,264,325,3
0.0003676,264,325,3
0.0003677,264,325,3
0.0003678,264,325,3
0.0003679,264,325,3
0.000368,264,325,3
0.0003681,264,325,3
0.0003682,264,325,3
0.0003683,264,325,3
0.0003684,264,325,3
0.0003685,264,325,3
0.0003686,264,325,3
0.0003687,264,325,3
0.0003688,264,325,3
0.0003689,264,325,3
0.000369,264,325,3
0.0003691,264,325,3
0.0003692,264,325,3
0.0003693,264,325,3
0.0003694,264,325,3
0.0003695,264,325,3
0.0003696,264,325,3
0.0003697,264,325,3
0.0003698,264,325,3
0.0003699,264,325,3
0.00037,264,325,3
0.0003701,264,325,3
0.0003702,264,325,3
0.0003703,264,325,3
0.0003704,264,325,3
0.0003705,264,325,3
0.0003706,264,325,3
0.0003707,264,325,3
0.0003708,264,325,3
0.0003709,264,325,3
0.000371,264,325,3
0.0003711,264,325,3
0.0003712,264,325,3
0.0003713,264,325,3
0.0003714,264,325,3
0.0003715,264,325,3
0.0003716,264,325,3
0.0003717,264,325,3
0.0003718,264,325,3
0.0003719,264,325,3
0.000372,264,325,3
0.0003721,264,325,3
0.0003722,264,325,3
0.0003723,264,325,3
0.0003724,264,325,3
0.0003725,264,325,3
0.0003726,264,325,3
0.0003727,264,325,3
0.0003728,264,325,3
0.0003729,264,325,3
0.000373,264,325,3
0.0003731,264,325,3
0.0003732,264,325,3
0.0003733,264,325,3
0.0003734,264,325,3
0.0003735,264,325,3
0.0003736,264,325,3
0.0003737,264,325,3
0.0003738,264,325,3
0.0003739,264,325,3
0.000374,264,325,3
0.0003741,264,325,3
0.0003742,264,325,3
0.0003743,264,325,3
0.0003744,264,325,3
0.0003745,264,325,3
0.0003746,264,325,3
0.0003747,264,325,3
0.0003748,264,325,3
0.0003749,264,325,3
0.000375,264,325,3
0.0003751,264,325,3
0.0003752,264,325,3
0.0003753,264,325,3
0.0003754,264,325,3
0.0003755,264,325,3
0.0003756,264,325,3
0.0003757,264,325,3
0.0003758,264,325,3
0.0003759,264,325,3
0.000376,264,325,3
0.0003761,264,325,3
0.0003762,264,325,3
0.0003763,264,325,3
0.0003764,264,325,3
0.0003765,264,325,3
0.0003766,264,325,3
0.0003767,264,325,3
0.0003768,264,325,3
0.0003769,264,325,3
0.000377,264,325,3
0.0003771,264,325,3
0.0003772,264,325,3
0.0003773,264,325,3
0.0003774,264,325,3
0.0003775,264,325,3
0.0003776,264,325,3
0.0003777,264,325,3
0.0003778,264,325,3
0.0003779,264,325,3
0.000378,264,325,3
0.0003781,264,325,3
0.0003782,264,325,3
0.0003783,264,325,3
0.0003784,264,325,3
0.0003785,264,325,3
0.0003786,264,325,3
0.0003787,264,325,3
0.0003788,264,325,3
0.0003789,264,325,3
0.000379,264,325,3
0.0003791,264,325,3
0.0003792,264,325,3
0.0003793,264,325,3
0.0003794,264,325,3
0.0003795,264,325,3
0.0003796,264,325,3
0.0003797,264,325,3
0.0003798,264,325,3
0.0003799,264,325,3
0.00038,264,325,3
0.0003801,264,325,3
0.0003802,264,325,3
0.0003803,264,325,3
0.0003804,264,325,3
0.0003805,264,325,3
0.0003806,264,325,3
0.0003807,264,325,3
0.0003808,264,325,3
0.0003809,264,325,3
0.000381,264,325,3
0.0003811,264,325,3
0.0003812,264,325,3
0.0003813,264,325,3
0.0003814,264,325,3
0.0003815,264,325,3
0.0003816,264,325,3
0.0003817,264,325,3
0.0003818,264,325,3
0.0003819,264,325,3
0.000382,264,325,3
0.0003821,264,325,3
0.0003822,264,325,3
0.0003823,264,325,3
0.0003824,264,325,3
0.0003825,264,325,3
0.0003826,264,325,3
0.0003827,264,325,3
0.0003828,264,325,3
0.0003829,264,325,3
0.000383,264,325,3
0.0003831,264,325,3
0.0003832,264,325,3
0.0003833,264,325,3
0.0003834,264,325,3
0.0003835,264,325,3
0.0003836,264,325,3
0.0003837,264,325,3
0.0003838,264,325,3
0.0003839,264,325,3
0.000384,264,325,3
0.0003841,264,325,3
0.0003842,264,325,3
0.0003843,264,325,3
0.0003844,264,325,3
0.0003845,264,325,3
0.0003846,264,325,3
0.0003847,264,325,3
0.0003848,264,325,3
0.0003849,264,325,3
0.000385,264,325,3
0.0003851,264,325,3
0.0003852,264,325,3
0.0003853,264,325,3
0.0003854,264,325,3
0.0003855,264,325,3
0.0003856,264,325,3
0.0003857,264,325,3
0.0003858,264,325,3
0.0003859,264,325,3
0.000386,264,325,3
0.0003861,264,325,3
0.0003862,264,325,3
0.0003863,264,325,3
0.0003864,264,325,3
0.0003865,264,325,3
0.0003866,264,325,3
0.0003867,264,325,3
0.0003868,264,325,3
0.0003869,264,325,3
0.000387,264,325,3
0.0003871,264,325,3
0.0003872,264,325,3
0.0003873,264,325,3
0.0003874,264,325,3
0.0003875,264,325,3
0.0003876,264,325,3
0.0003877,264,325,3
0.0003878,264,325,3
0.0003879,264,325,3
0.000388,264,325,3
0.0003881,264,325,3
0.0003882,264,325,3
0.0003883,264,325,3
