particle_id,release_time,source_part_id,material_id,source_event_tag,x,vx,y,vy
6348,0.25388,12,2,,0.0515689278013965,0.0,0.0206012451954674,0.0
6349,0.25392,1,1,,0.0402230296378227,0.0,0.0249599503189507,0.0
6350,0.25396,2,2,,0.011121845069824,0.0,0.0246844997795043,0.0
6351,0.254,3,1,,0.0552066145362339,0.0,0.0413228625436897,0.0
6352,0.25404,4,2,,0.0245602465239462,0.0,0.0006028447471938,0.0
6353,0.25408,5,1,,0.0997808813055661,0.0,0.0251321773017478,0.0
6354,0.25412,6,2,,0.035741174953678,0.0,0.0167523276490873,0.0
6355,0.25416,7,1,,0.0757087698286734,0.0,0.0324212075302273,0.0
6356,0.2542,8,2,,0.0717390018161533,0.0,0.0071140566586348,0.0
6357,0.25424,9,1,,0.0924302145271632,0.0,0.039278758578205,0.0
6358,0.25428,10,2,,0.0759019465374375,0.0,-0.0372100607437929,0.0
6359,0.25432,11,1,,0.1015656529506666,0.0,0.0210020152853056,0.0
6360,0.25436,12,2,,0.0919736745936774,0.0,0.050241338493926,0.0
6361,0.2544,1,1,,0.0850715610013479,0.0,-0.0162842229770241,0.0
6362,0.25444,2,2,,0.0550399323268531,0.0,-0.0354445159502831,0.0
6363,0.25448,3,1,,0.095377653936135,0.0,0.0530737722124083,0.0
6364,0.25452,4,2,,0.0568707959553888,0.0,0.028770795578088,0.0
6365,0.25456,5,1,,0.0952741914324343,0.0,0.0297673179767351,0.0
6366,0.2546,6,2,,0.0851719268725624,0.0,-0.0217663598987504,0.0
6367,0.25464,7,1,,0.031515409698068,0.0,0.0245089763475886,0.0
6368,0.25468,8,2,,0.0634816299261337,0.0,-0.028470822493249,0.0
6369,0.25472,9,1,,0.06486802271224,0.0,0.0501279868839198,0.0
6370,0.25476,10,2,,0.0864947682422821,0.0,-0.0300706071178313,0.0
6371,0.2548,11,1,,0.0749676312472706,0.0,0.0605402464107527,0.0
6372,0.25484,12,2,,0.0627268763596136,0.0,-0.0348110952581304,0.0
6373,0.25488,1,1,,0.0811192828399098,0.0,0.0279842372469192,0.0
6374,0.25492,2,2,,0.0887895414193488,0.0,-0.0060768236777019,0.0
