particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,target_x,target_y,initial_speed_mps,particle_model
1319,0.15725796456040819,0.024,-723.11085114709454,-37.851813589139688,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15725796456040819,0.021999999999999999,0.0020000000000000018,0.12588087140180595,0.022130412962243787,724.10086510006499,neutral_100nm_low_pressure_redeposit
1320,0.1543078113873606,0.024,-287.44634815822053,-70.959001654060359,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.1543078113873606,0.021999999999999999,0.0020000000000000018,0.13606178595907811,0.021893738477117078,296.07529951895322,neutral_100nm_low_pressure_redeposit
1321,0.17341154541626466,0.024,-447.66684900019823,-47.285739977513913,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17341154541626466,0.021999999999999999,0.0020000000000000018,0.13027987610239661,0.021881944917304039,450.15724907968252,neutral_100nm_low_pressure_redeposit
1322,0.17773419892807396,0.024,-1107.4490240474158,-3.8460771277166139,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17773419892807396,0.021999999999999999,0.0020000000000000018,0.043668101331674897,0.022288947388726152,1107.4557025781419,neutral_100nm_low_pressure_redeposit
1323,0.16829855795069221,0.024,-541.9279116531327,-77.942248754738387,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16829855795069221,0.021999999999999999,0.0020000000000000018,0.12198048866411106,0.022495099066017366,547.50420598354413,neutral_100nm_low_pressure_redeposit
1324,0.176810165135523,0.024,-576.01693711063717,-63.590902396747964,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.176810165135523,0.021999999999999999,0.0020000000000000018,0.11259692942940497,0.02225197634795794,579.51644903829299,neutral_100nm_low_pressure_redeposit
1325,0.16922478986086553,0.024,-327.75517898739531,-4.3361137210188687,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16922478986086553,0.021999999999999999,0.0020000000000000018,0.12190172318909447,0.021721934015591915,327.7838605472532,neutral_100nm_low_pressure_redeposit
1326,0.15481817929809077,0.024,-236.06013105999401,-127.21362594127424,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15481817929809077,0.021999999999999999,0.0020000000000000018,0.14960289236337784,0.021904855046640505,268.15609652064222,neutral_100nm_low_pressure_redeposit
1327,0.15486540672161167,0.024,-749.40082548577561,-178.50054197700217,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15486540672161167,0.021999999999999999,0.0020000000000000018,0.139496929859666,0.021880892597942007,770.3661731442038,neutral_100nm_low_pressure_redeposit
1328,0.17304286843727101,0.024,-293.53402723843357,-28.777640363845926,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17304286843727101,0.021999999999999999,0.0020000000000000018,0.14961121170712033,0.02206049232694526,294.94131235166822,neutral_100nm_low_pressure_redeposit
1329,0.16917166049804452,0.024,-546.1979744034029,-84.72573918015452,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16917166049804452,0.021999999999999999,0.0020000000000000018,0.13452173076157942,0.022090631652284615,552.73020373596728,neutral_100nm_low_pressure_redeposit
